number,value,datetime_start,datetime_complete,duration,params_CLIP_GRAD,params_DROPOUT,params_HIDDEN_SIZE,params_LEARNING_RATE,params_NUM_LAYERS,params_WEIGHT_DECAY,user_attrs_mae,user_attrs_mae_mean,user_attrs_mape,user_attrs_mape_mean,user_attrs_rmse,user_attrs_rmse_mean,user_attrs_std_dev,user_attrs_std_dev_mean,state
23,1.9195421934127808,2025-01-20 04:07:38.049620,2025-01-20 04:24:24.472584,0 days 00:16:46.422964,10.0,0.03,200,0.0002,4,1e-07,1.9195422,1.7483724,4.596364,4.051904,2.551121711730957,2.2185564804653386,2.4743023,1.7962756,COMPLETE
21,1.9524261951446533,2025-01-20 03:26:17.065510,2025-01-20 03:46:29.458640,0 days 00:20:12.393130,10.0,0.05,180,0.0002,5,1e-07,1.9524262,1.7450823,4.6956773,4.0954967,2.605807304382324,2.2491306285003403,2.4450922,1.815367,COMPLETE
27,1.9530538320541382,2025-01-20 05:08:01.424899,2025-01-20 05:20:54.817780,0 days 00:12:53.392881,10.0,0.03,160,0.0002,3,1e-07,1.9530538,2.0123327,4.4400625,4.5649905,2.5568153858184814,2.453971497661998,2.4477947,1.7946894,COMPLETE
22,2.0917105674743652,2025-01-20 03:46:29.461372,2025-01-20 04:07:38.046809,0 days 00:21:08.585437,10.0,0.03,200,0.0002,5,1e-07,2.0917106,2.088224,4.700517,4.4684067,2.706252098083496,2.6065186718919606,2.6862228,2.0289087,COMPLETE
42,2.096742868423462,2025-01-20 09:03:08.447600,2025-01-20 09:32:12.409853,0 days 00:29:03.962253,10.0,0.06,200,0.0002,5,1e-07,2.0967429,2.0762746,4.7683682,4.4115214,2.685964822769165,2.5221868500728744,2.64475,1.8590076,COMPLETE
19,2.180379867553711,2025-01-20 02:45:52.473742,2025-01-20 03:06:04.640587,0 days 00:20:12.166845,10.0,0.05,180,0.0002,5,1e-07,2.1803799,2.0645971,5.1342964,4.849688,2.928124189376831,2.6115753938184163,2.8568726,2.144996,COMPLETE
40,2.3534886837005615,2025-01-20 08:12:49.730691,2025-01-20 08:33:55.387888,0 days 00:21:05.657197,,0.02,80,0.0003,4,1e-07,2.3534887,2.235471,5.606079,5.247072,3.119570255279541,2.7898592802453015,3.1129613,2.2271383,COMPLETE
20,2.36358642578125,2025-01-20 03:06:04.642952,2025-01-20 03:26:17.063195,0 days 00:20:12.420243,10.0,0.05,180,0.0002,5,1e-07,2.3635864,2.459547,4.854272,4.9084883,2.998746395111084,2.9400239339527885,2.483455,1.8721308,COMPLETE
24,2.7166202068328857,2025-01-20 04:24:24.475715,2025-01-20 04:41:11.639293,0 days 00:16:47.163578,10.0,0.0,200,0.0002,4,1e-07,2.7166202,2.426163,6.337362,5.5527225,3.8933908939361572,2.9044877644872136,3.7797933,2.0119812,COMPLETE
25,2.7325632572174072,2025-01-20 04:41:11.641940,2025-01-20 04:57:58.082767,0 days 00:16:46.440827,10.0,0.03,200,0.0002,4,1e-07,2.7325633,2.8814363,6.0986595,6.362686,3.3602449893951416,3.2589535528919606,2.4652736,1.7905606,COMPLETE
45,2.756199598312378,2025-01-20 10:54:58.527348,2025-01-20 11:36:51.975048,0 days 00:41:53.447700,10.0,0.07,180,0.0002,5,0.0001,2.7561996,2.8397577,6.1028843,6.2584753,3.355295181274414,3.2836309619780635,2.514613,1.972344,COMPLETE
31,2.7748868465423584,2025-01-20 05:56:45.595136,2025-01-20 06:13:09.426385,0 days 00:16:23.831249,10.0,0.04,180,0.0002,4,1e-07,2.7748868,2.8879225,6.29984,6.4974804,3.4301981925964355,3.291350075485483,2.5422676,1.8506725,COMPLETE
29,2.813580274581909,2025-01-20 05:33:04.242546,2025-01-20 05:45:58.616030,0 days 00:12:54.373484,,0.14,160,9e-05,3,0.0001,2.8135803,2.7670584,6.1596365,5.5924373,3.573883056640625,3.3245358509119423,3.560319,2.4313352,COMPLETE
46,2.8493683338165283,2025-01-20 11:36:51.980439,2025-01-20 12:21:12.154187,0 days 00:44:20.173748,1.0,0.09,200,0.0004,5,1e-07,2.8493683,2.5802767,6.2800803,5.5711346,3.4326953887939453,2.899155339865766,2.6732132,1.5507419,COMPLETE
34,3.0385916233062744,2025-01-20 06:38:36.586075,2025-01-20 06:52:13.797175,0 days 00:13:37.211100,1.0,0.02,180,0.0002,3,1e-07,3.0385916,2.6156347,8.026006,6.559339,3.89994740486145,3.09820377892718,3.1675289,2.1290417,COMPLETE
18,3.1084165573120117,2025-01-20 02:23:43.904297,2025-01-20 02:45:52.471570,0 days 00:22:08.567273,0.1,0.07,180,0.0002,6,1e-07,3.1084166,3.3408282,6.080351,6.308753,3.6859025955200195,3.708889661958931,2.6249866,1.7537247,COMPLETE
38,3.128783702850342,2025-01-20 07:41:21.442223,2025-01-20 07:57:50.990689,0 days 00:16:29.548466,10.0,0.05,180,0.0006,4,1e-07,3.1287837,2.8182633,8.513283,7.5925665,4.079645156860352,3.2472192763321828,3.1166945,1.7731895,COMPLETE
