number,value,datetime_start,datetime_complete,duration,params_CLIP_GRAD,params_DROPOUT,params_HIDDEN_SIZE,params_LEARNING_RATE,params_MOMENTUM_SGD,params_NUM_EPOCHS,params_NUM_LAYERS,params_OPTIMIZER,params_WEIGHT_DECAY,params_WEIGHT_INIT_TYPE,user_attrs_mae,user_attrs_mape,user_attrs_rmse,user_attrs_std_dev,state
0,27.567920684814453,2025-01-16 17:35:47.852558,2025-01-16 17:43:45.148690,0 days 00:07:57.296132,,0.05,70,0.005,0.6000000000000001,12,9,adamw,0.0001,default,21.839668,57.15645,27.567920684814453,22.659376,COMPLETE
1,52.871002197265625,2025-01-16 17:43:45.150184,2025-01-16 17:47:45.576792,0 days 00:04:00.426608,0.1,0.55,30,0.0008,0.8,9,6,adam,1e-06,default,50.203617,88.32464,52.871002197265625,16.587378,COMPLETE
2,32.25835418701172,2025-01-16 17:47:45.577754,2025-01-16 17:55:39.044348,0 days 00:07:53.466594,,0.1,90,0.003,0.8,17,6,adamw,0.01,default,30.704834,53.76466,32.25835418701172,9.899339,COMPLETE
3,14.618874549865723,2025-01-16 17:55:39.045044,2025-01-16 17:59:05.065087,0 days 00:03:26.020043,,0.25,20,0.001,0.7000000000000001,14,3,adam,0.01,default,13.465173,23.040611,14.618874549865723,6.5566993,COMPLETE
4,97.85246276855469,2025-01-16 17:59:05.065684,2025-01-16 18:00:01.220454,0 days 00:00:56.154770,0.001,0.55,10,0.02,0.2,8,1,sgd,0.001,default,95.12467,176.6681,97.85246276855469,22.943209,COMPLETE
5,35.932132720947266,2025-01-16 18:00:01.221016,2025-01-16 18:05:09.631152,0 days 00:05:08.410136,0.1,0.15000000000000002,60,0.05,0.2,10,7,adam,1e-05,default,30.188604,46.261295,35.932132720947266,21.592474,COMPLETE
6,57.440547943115234,2025-01-16 18:05:09.631754,2025-01-16 18:14:04.373818,0 days 00:08:54.742064,0.01,0.15000000000000002,100,0.05,0.1,15,8,adam,0.01,normal,53.22284,89.67164,57.440547943115234,21.60423,COMPLETE
7,53.88724899291992,2025-01-16 18:14:04.374513,2025-01-16 18:15:36.745991,0 days 00:01:32.371478,2.0,0.30000000000000004,20,0.0001,0.4,13,1,sgd,0.0,normal,48.38415,80.83697,53.88724899291992,25.614292,COMPLETE
8,28.04015350341797,2025-01-16 18:15:36.746508,2025-01-16 18:21:46.902126,0 days 00:06:10.155618,0.01,0.2,40,0.0001,0.0,9,9,adamw,1e-05,default,24.661667,40.869503,28.04015350341797,14.284236,COMPLETE
9,57.44056701660156,2025-01-16 18:21:46.902632,2025-01-16 18:25:22.965872,0 days 00:03:36.063240,2.0,0.15000000000000002,60,0.0001,0.8,8,6,sgd,1e-06,normal,53.222862,89.67169,57.44056701660156,21.604235,COMPLETE
10,23.710559844970703,2025-01-16 18:25:22.966434,2025-01-16 18:33:36.459398,0 days 00:08:13.492964,0.1,0.1,70,0.001,0.30000000000000004,14,8,adam,1e-06,normal,20.291431,39.90609,23.710559844970703,21.604233,COMPLETE
11,56.75351333618164,2025-01-16 18:33:36.459909,2025-01-16 18:40:34.791761,0 days 00:06:58.331852,0.5,0.6,10,0.02,0.30000000000000004,14,7,adam,0.001,he,52.480694,88.124084,56.75351333618164,21.604229,COMPLETE
12,15.304450988769531,2025-01-16 18:40:34.792405,2025-01-16 18:46:11.962402,0 days 00:05:37.169997,5.0,0.35000000000000003,90,0.0003,0.6000000000000001,14,5,adamw,1e-06,he,13.468398,21.480816,15.304450988769531,7.697441,COMPLETE
13,36.57087326049805,2025-01-16 18:46:11.962934,2025-01-16 18:49:18.755305,0 days 00:03:06.792371,0.01,0.25,10,0.0003,0.2,10,4,adamw,0.001,normal,34.039146,57.10692,36.57087326049805,13.521725,COMPLETE
14,21.25336456298828,2025-01-16 18:49:18.755849,2025-01-16 18:52:04.416471,0 days 00:02:45.660622,,0.5,100,0.02,0.5,16,1,adamw,0.0001,normal,17.852222,28.290077,21.25336456298828,14.409012,COMPLETE
15,12.115915298461914,2025-01-16 18:52:04.416969,2025-01-16 18:55:16.982085,0 days 00:03:12.565116,1.0,0.1,100,0.0008,0.7000000000000001,19,1,adamw,0.001,he,11.206637,19.345732,12.115915298461914,5.0327272,COMPLETE
16,50.80830383300781,2025-01-16 18:55:16.982640,2025-01-16 18:59:33.472070,0 days 00:04:16.489430,1.0,0.30000000000000004,40,5e-05,0.9,9,6,sgd,0.0001,default,46.002136,74.69278,50.80830383300781,21.586603,COMPLETE
17,50.71894836425781,2025-01-16 18:59:33.472608,2025-01-16 19:01:13.983677,0 days 00:01:40.511069,2.0,0.45,90,0.02,0.30000000000000004,5,4,sgd,0.01,he,45.41598,73.4295,50.71894836425781,22.674448,COMPLETE
18,21.781055450439453,2025-01-16 19:01:13.984259,2025-01-16 19:08:52.356077,0 days 00:07:38.371818,5.0,0.35000000000000003,50,0.05,0.4,15,7,adamw,0.0001,he,18.833515,42.61076,21.781055450439453,21.604235,COMPLETE
19,5.213411808013916,2025-01-16 19:08:52.356596,2025-01-16 19:11:54.253947,0 days 00:03:01.897351,,0.2,10,0.02,0.6000000000000001,8,5,adamw,1e-05,normal,4.1313,9.165774,5.213411808013916,4.770654,COMPLETE
20,26.240175247192383,2025-01-16 19:11:54.254523,2025-01-16 19:15:58.817892,0 days 00:04:04.563369,1.0,0.4,20,0.02,0.8,9,6,adamw,0.0001,he,22.093235,39.426632,26.240175247192383,21.60369,COMPLETE
21,57.319374084472656,2025-01-16 19:15:58.818400,2025-01-16 19:27:24.000960,0 days 00:11:25.182560,0.001,0.05,10,0.0001,0.5,18,9,sgd,1e-06,normal,53.039917,89.2532,57.319374084472656,21.811651,COMPLETE
22,70.13893127441406,2025-01-16 19:27:24.001518,2025-01-16 19:30:09.480086,0 days 00:02:45.478568,0.1,0.15000000000000002,80,0.0001,0.7000000000000001,9,3,adam,0.01,default,66.72205,117.83833,70.13893127441406,21.624775,COMPLETE
