number,value,datetime_start,datetime_complete,duration,params_CLIP_GRAD,params_DROPOUT,params_HIDDEN_SIZE,params_LEARNING_RATE,params_NUM_LAYERS,params_WEIGHT_DECAY,user_attrs_mae,user_attrs_mae_mean,user_attrs_mape,user_attrs_mape_mean,user_attrs_rmse,user_attrs_rmse_mean,user_attrs_std_dev,user_attrs_std_dev_mean,state
19,1.5127174854278564,2025-01-21 11:22:49.666528,2025-01-21 11:53:06.750589,0 days 00:30:17.084061,1.0,0.02,200,0.00030000000000000003,4,1e-06,1.5127175,1.4127424,3.7129781,3.3433692,1.9726923704147339,1.7122655821543546,1.8687193,1.1979315,COMPLETE
12,1.6925512552261353,2025-01-21 07:03:26.098173,2025-01-21 07:45:39.417360,0 days 00:42:13.319187,,0.03,190,0.0002,3,1e-08,1.6925513,1.6377721,3.8438678,3.5302138,2.229405641555786,2.044250373518275,2.2281013,1.6162348,COMPLETE
4,1.8426154851913452,2025-01-21 01:44:47.182943,2025-01-21 02:24:53.364763,0 days 00:40:06.181820,,0.03,190,0.0001,3,1e-06,1.8426155,1.7948471,4.067471,3.8422337,2.410615921020508,2.232411756871208,2.294375,1.6881173,COMPLETE
13,2.1577999591827393,2025-01-21 07:45:39.419335,2025-01-21 08:28:08.503161,0 days 00:42:29.083826,,0.03,190,0.0002,3,1e-08,2.1578,1.9248209,5.128298,4.3878803,2.778733491897583,2.358230927718743,2.4929895,1.7900541,COMPLETE
10,2.20660662651062,2025-01-21 06:00:32.181886,2025-01-21 06:33:14.581461,0 days 00:32:42.399575,,0.06,200,5e-05,3,1e-06,2.2066066,2.15049,4.7079225,4.4209967,2.8036892414093018,2.6352511745306755,2.8036778,2.074563,COMPLETE
18,2.2586305141448975,2025-01-21 10:55:56.377402,2025-01-21 11:22:49.664198,0 days 00:26:53.286796,,0.08,170,0.00015000000000000001,3,1e-08,2.2586305,2.3202682,4.5250425,4.5986047,2.8972585201263428,2.7788806370189114,2.7976234,1.9311115,COMPLETE
5,2.3310868740081787,2025-01-21 02:24:53.365981,2025-01-21 03:09:16.926134,0 days 00:44:23.560153,100.0,0.04,180,0.0004,5,1e-07,2.3310869,2.0497713,5.2984343,4.5141277,2.965228796005249,2.4857054064350743,2.3372264,1.6535999,COMPLETE
9,2.4933955669403076,2025-01-21 05:06:59.591895,2025-01-21 06:00:32.180267,0 days 00:53:32.588372,10.0,0.08,180,0.0001,5,1e-07,2.4933956,2.4708788,5.736436,5.5319023,3.256218194961548,3.019240258381732,3.231012,2.3156173,COMPLETE
6,2.5287811756134033,2025-01-21 03:09:16.927372,2025-01-21 03:45:43.337043,0 days 00:36:26.409671,10.0,0.01,170,0.0008500000000000001,4,1e-07,2.5287812,2.5660956,5.728946,5.653095,3.2254638671875,3.0570021236255283,2.9712358,2.0026543,COMPLETE
0,2.8105478286743164,2025-01-20 21:59:44.079218,2025-01-20 22:40:52.441437,0 days 00:41:08.362219,10.0,0.18,200,0.0004,5,1e-07,2.8105478,2.9093943,5.506457,5.498589,3.341061592102051,3.266263067842491,2.5021076,1.6581773,COMPLETE
15,2.999880790710449,2025-01-21 09:15:06.844415,2025-01-21 09:45:08.502907,0 days 00:30:01.658492,1.0,0.08,180,0.00025,3,1e-08,2.9998808,3.1331117,5.770158,5.8502045,3.377607822418213,3.359416237521556,2.021349,1.2992212,COMPLETE
11,3.007845640182495,2025-01-21 06:33:14.583168,2025-01-21 07:03:26.096451,0 days 00:30:11.513283,,0.06,200,5e-05,3,1e-06,3.0078456,2.844582,7.4771247,6.613108,3.856252431869507,3.4130719711463295,3.797025,2.481885,COMPLETE
8,3.055926561355591,2025-01-21 04:16:21.832035,2025-01-21 05:06:59.590426,0 days 00:50:37.758391,100.0,0.12,160,0.0008,5,1e-06,3.0559266,2.9396842,7.9473286,7.4185367,3.8520212173461914,3.3738403367179055,2.9246244,1.8444914,COMPLETE
14,3.2181408405303955,2025-01-21 08:28:08.505355,2025-01-21 09:15:06.825198,0 days 00:46:58.319843,,0.03,190,0.00025,4,1e-08,3.2181408,3.2120864,7.1056204,7.014296,3.708742618560791,3.4882279142376875,2.013568,1.4263623,COMPLETE
17,3.366067886352539,2025-01-21 10:20:50.076611,2025-01-21 10:55:56.375346,0 days 00:35:06.298735,,0.05,190,0.0002,3,1e-08,3.366068,3.5057912,6.4017563,6.417699,4.351830959320068,4.134037348171396,3.8260803,2.5291636,COMPLETE
1,3.396205186843872,2025-01-20 22:40:52.443123,2025-01-20 23:16:44.990340,0 days 00:35:52.547217,100.0,0.11,160,0.00045000000000000004,4,1e-07,3.3962052,3.4295254,6.9215665,6.7321186,3.8289709091186523,3.672415903979732,1.916356,1.2937571,COMPLETE
7,3.5064408779144287,2025-01-21 03:45:43.338406,2025-01-21 04:16:21.830672,0 days 00:30:38.492266,,0.15,160,0.00055,3,0.0,3.5064409,3.3135078,10.039158,9.288503,4.570086479187012,3.7235962315312316,3.2237248,1.6804901,COMPLETE
3,3.558852195739746,2025-01-21 00:32:07.154744,2025-01-21 01:44:47.181862,0 days 01:12:40.027118,100.0,0.0,190,0.0009500000000000001,5,0.0,3.5588522,3.6031854,6.9204397,6.791421,4.110862731933594,3.965024016016433,3.0917861,1.8998423,COMPLETE
2,4.471250534057617,2025-01-20 23:16:44.991130,2025-01-21 00:32:07.153922,0 days 01:15:22.162792,1.0,0.15,190,0.0004,5,0.0,4.4712505,4.606363,10.094217,10.283377,5.245889186859131,4.961062590561567,4.9550285,2.2136343,COMPLETE
16,6.014081001281738,2025-01-21 09:45:08.505063,2025-01-21 10:20:50.074655,0 days 00:35:41.569592,,0.0,180,0.0006500000000000001,4,1e-06,6.014081,6.0765777,12.6296835,12.515633,6.421091079711914,6.3245572267520815,2.303213,1.8077402,COMPLETE
