number,value,datetime_start,datetime_complete,duration,params_CLIP_GRAD,params_DROPOUT,params_HIDDEN_SIZE,params_LEARNING_RATE,params_NUM_LAYERS,params_OPTIMIZER,params_WEIGHT_DECAY,params_WEIGHT_INIT_TYPE,state
0,7.738609790802002,2025-01-16 13:49:37.694714,2025-01-16 13:52:10.769555,0 days 00:02:33.074841,,0.0,20,0.01,4,adamw,0.001,normal,COMPLETE
1,43.44071578979492,2025-01-16 13:52:10.771446,2025-01-16 13:55:21.149619,0 days 00:03:10.378173,0.5,0.1,10,5e-05,5,adam,1e-06,normal,COMPLETE
2,35.709991455078125,2025-01-16 13:55:21.150143,2025-01-16 13:57:32.872377,0 days 00:02:11.722234,2.0,0.55,60,0.005,3,adamw,0.0001,default,COMPLETE
3,45.641414642333984,2025-01-16 13:57:32.872970,2025-01-16 14:00:57.012211,0 days 00:03:24.139241,1.0,0.30000000000000004,70,0.0008,5,adamw,0.001,default,COMPLETE
4,55.05839157104492,2025-01-16 14:00:57.012810,2025-01-16 14:02:40.253591,0 days 00:01:43.240781,1.5,0.25,70,0.008,2,adam,0.01,he,COMPLETE
5,31.863914489746094,2025-01-16 14:02:40.254155,2025-01-16 14:05:32.342069,0 days 00:02:52.087914,5.0,0.2,70,0.0001,4,adamw,0.001,he,COMPLETE
6,38.383155822753906,2025-01-16 14:05:32.342614,2025-01-16 14:06:49.772582,0 days 00:01:17.429968,1.0,0.35000000000000003,80,5e-05,1,adamw,0.001,he,COMPLETE
7,44.80845642089844,2025-01-16 14:06:49.773166,2025-01-16 14:08:12.018095,0 days 00:01:22.244929,5.0,0.05,90,0.001,1,adam,0.01,normal,COMPLETE
8,10.615992546081543,2025-01-16 14:08:12.018574,2025-01-16 14:10:19.173476,0 days 00:02:07.154902,0.5,0.1,30,0.001,3,adam,0.0,default,COMPLETE
9,54.35862350463867,2025-01-16 14:10:19.173980,2025-01-16 14:13:33.660261,0 days 00:03:14.486281,0.01,0.6,30,0.0005,5,adam,0.0001,normal,COMPLETE
10,25.2166748046875,2025-01-16 14:13:33.660711,2025-01-16 14:16:25.565161,0 days 00:02:51.904450,,0.45,40,0.01,4,adamw,1e-05,normal,COMPLETE
11,5.028054714202881,2025-01-16 14:16:25.565607,2025-01-16 14:18:25.847690,0 days 00:02:00.282083,0.1,0.0,10,0.01,3,adam,0.0,default,COMPLETE
12,57.41300582885742,2025-01-16 14:18:25.848219,2025-01-16 14:20:57.218700,0 days 00:02:31.370481,0.1,0.0,10,0.01,4,adamw,0.0,default,COMPLETE
13,7.629871845245361,2025-01-16 14:20:57.219197,2025-01-16 14:22:30.449721,0 days 00:01:33.230524,0.1,0.15000000000000002,20,0.01,2,adam,0.0,normal,COMPLETE
14,23.38114356994629,2025-01-16 14:22:30.450206,2025-01-16 14:24:13.739175,0 days 00:01:43.288969,0.1,0.15000000000000002,40,0.0003,2,adam,0.0,default,COMPLETE
15,8.908177375793457,2025-01-16 14:24:13.739659,2025-01-16 14:25:45.390218,0 days 00:01:31.650559,0.1,0.15000000000000002,10,0.05,2,adam,0.0,default,COMPLETE
16,25.719369888305664,2025-01-16 14:25:45.390664,2025-01-16 14:27:50.535136,0 days 00:02:05.144472,0.1,0.0,50,0.003,3,adam,0.0,normal,COMPLETE
17,9.647355079650879,2025-01-16 14:27:50.535639,2025-01-16 14:29:24.223431,0 days 00:01:33.687792,0.1,0.35000000000000003,20,0.02,2,adam,1e-06,normal,COMPLETE
18,17.542028427124023,2025-01-16 14:29:24.223962,2025-01-16 14:30:49.296452,0 days 00:01:25.072490,2.0,0.2,100,0.01,1,adam,1e-05,default,COMPLETE
19,8.994027137756348,2025-01-16 14:30:49.296973,2025-01-16 14:32:23.510189,0 days 00:01:34.213216,0.01,0.1,30,0.01,2,adam,0.0,he,COMPLETE
20,13.939541816711426,2025-01-16 14:32:23.510718,2025-01-16 14:34:29.347093,0 days 00:02:05.836375,1.5,0.05,20,0.0008,3,adam,0.0,default,COMPLETE
21,41.3732795715332,2025-01-16 14:34:29.347556,2025-01-16 14:37:01.369545,0 days 00:02:32.021989,,0.0,20,0.01,4,adamw,0.001,normal,COMPLETE
22,5.219045639038086,2025-01-16 14:37:01.370001,2025-01-16 14:39:41.253229,0 days 00:02:39.883228,,0.05,20,0.01,4,adamw,0.001,normal,COMPLETE
